name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Fred Hoiberg,1995,2005,10,1972-10-15,Shooting Guard,Guard,5.4,2.7,1.6,43.1,13.7,27.6,76.0,203.0,Right,0.0,Iowa State University,Ames ,Ames,Iowa,/players/h/hoibefr01.html
Doug Holcomb,1948,1949,1,1925-02-09,Small Forward,Forward,5.0,,1.7,25.0,,0.1,76.0,200.0,Right,0.0,University of Wisconsin,,,,/players/h/holcodo01.html
Randy Holcomb,2005,2006,1,1979-08-08,Small Forward,Forward,0.5,0.3,0.0,100.0,8.2,0.0,81.0,225.0,Left,0.0,"California State University, Fresno, San Diego State University",Lincoln Park ,Chicago,Illinois,/players/h/holcora01.html
Aaron Holiday,2018,2019,1,1996-09-30,Point Guard,Guard,5.9,1.3,1.7,40.1,11.9,0.9,73.0,185.0,Right,0.0,"University of California, Los Angeles",Campbell Hall HS ,North Hollywood,California,/players/h/holidaa01.html
Jrue Holiday,2009,2019,10,1990-06-12,Point Guard,Guard,15.6,3.8,6.4,45.2,16.9,39.1,76.0,205.0,Right,0.0,"University of California, Los Angeles",Campbell Hall ,North Hollywood,California,/players/h/holidjr01.html
Justin Holiday,2012,2019,7,1989-04-05,Shooting Guard,Guard,8.1,2.8,1.5,39.0,10.8,8.0,78.0,181.0,Right,0.0,University of Washington,Campbell Hall ,North Hollywood,California,/players/h/holidju01.html
Brad Holland,1979,1982,3,1956-12-06,Shooting Guard,Guard,3.2,0.6,0.7,40.3,10.2,0.4,75.0,180.0,Right,0.0,"University of California, Los Angeles",Crescenta Valley ,La Crescenta,California,/players/h/hollabr01.html
Joe Holland,1949,1952,3,1925-09-26,Small Forward,Forward,5.8,4.2,1.8,33.1,11.5,1.9,76.0,185.0,Right,0.0,University of Kentucky,Benton ,Benton,Kentucky,/players/h/hollajo01.html
John Holland,2017,2019,2,1988-11-06,Small Forward,Forward,2.2,1.0,0.2,28.8,5.9,-0.2,77.0,205.0,Right,0.0,Boston University,St. Benedict's Prep ,Newark,New Jersey,/players/h/hollajo02.html
Wilbur Holland,1975,1979,4,1951-11-08,Shooting Guard,Guard,13.6,3.1,3.3,45.2,14.2,14.0,72.0,175.0,Left,0.0,University of New Orleans,,,,/players/h/hollawi01.html
Lionel Hollins,1975,1985,10,1953-10-19,Shooting Guard,Guard,11.6,2.4,4.5,44.4,13.0,22.9,75.0,185.0,Left,0.0,Arizona State University,Rancho ,Las Vegas,Nevada,/players/h/hollili01.html
Ryan Hollins,2006,2016,10,1984-10-10,Center,Center,3.7,2.2,0.3,58.4,11.0,10.4,84.0,240.0,Right,0.0,"University of California, Los Angeles",John Muir ,Pasadena,California,/players/h/holliry01.html
Essie Hollis,1978,1979,1,1955-05-16,Small Forward,Forward,2.8,1.8,0.2,40.0,11.8,0.1,78.0,195.0,Right,0.0,St. Bonaventure University,,,,/players/h/hollies01.html
Rondae Hollis-Jefferson,2015,2019,4,1995-01-03,Small Forward,Forward,9.9,5.9,2.0,44.4,14.6,9.1,79.0,217.0,Left,0.0,University of Arizona,Chester ,Chester,Pennsylvania,/players/h/holliro01.html
Dennis Holman,1967,1968,1,1945-10-08,Point Guard,Guard,3.8,1.7,1.6,35.9,8.6,0.3,75.0,175.0,Right,0.0,Southern Methodist University,,,,/players/h/holmade01.html
Richaun Holmes,2015,2019,4,1993-10-15,Center,Center,7.7,4.4,0.9,56.5,18.5,12.4,82.0,235.0,Right,0.0,Bowling Green State University,Lockport ,Lockport,Illinois,/players/h/holmeri01.html
Jim Holstein,1952,1956,4,1930-09-24,Small Forward,Forward,3.8,2.9,1.1,32.3,8.4,2.5,75.0,180.0,Right,0.0,University of Cincinnati,Hamilton Catholic ,Hamilton,Ohio,/players/h/holstji01.html
A.W. Holt,1970,1971,1,1946-08-26,Small Forward,Forward,0.7,0.7,0.0,12.5,-1.8,-0.1,79.0,210.0,Right,0.0,Jackson State University,,,,/players/h/holtaw01.html
Mike Holton,1984,1990,6,1961-08-04,Point Guard,Guard,6.2,1.4,3.0,44.1,10.5,4.8,76.0,185.0,Left,0.0,"University of California, Los Angeles",Pasadena ,Pasadena,California,/players/h/holtomi01.html
Dick Holub,1947,1948,1,1921-10-29,Center,Center,10.5,,0.8,29.5,,4.2,78.0,205.0,Right,0.0,Long Island University,,,,/players/h/holubdi01.html
Joe Holup,1956,1959,3,1934-02-26,Small Forward,Forward,7.0,4.4,1.0,34.2,11.3,4.2,78.0,215.0,Right,0.0,George Washington University,Swoyersville ,Swoyersville,Pennsylvania,/players/h/holupjo01.html
Red Holzman,1948,1954,6,1920-08-10,Point Guard,Guard,6.1,1.5,2.0,31.7,7.3,1.8,70.0,175.0,Right,0.0,City College of New York,Franklin K. Lane ,Brooklyn,New York,/players/h/holzmre01.html
Jerald Honeycutt,1997,1999,2,1974-10-20,Power Forward,Forward,5.1,1.9,0.7,39.1,10.6,0.3,81.0,245.0,Right,0.0,Tulane University,Grambling ,Grambling,Louisiana,/players/h/honeyje01.html
Tyler Honeycutt,2011,2013,2,1990-07-15,Small Forward,Forward,1.2,1.0,0.4,31.4,8.1,-0.1,80.0,188.0,Right,0.0,"University of California, Los Angeles",Sylmar ,Sylmar,California,/players/h/honeyty01.html
Derek Hood,1999,2000,1,1976-12-22,Power Forward,Forward,0.0,0.5,0.0,0.0,-24.2,-0.1,80.0,222.0,Right,0.0,University of Arkansas,Central ,Kansas City,Missouri,/players/h/hoodde01.html
Rodney Hood,2014,2019,5,1992-10-20,Shooting Guard,Guard,12.6,2.8,1.9,42.2,13.2,16.0,80.0,206.0,Left,0.0,"Mississippi State University, Duke University",Meridian ,Meridian,Mississippi,/players/h/hoodro01.html
Bobby Hooper,1968,1969,1,1946-12-22,Point Guard,Guard,5.0,2.0,2.6,41.3,9.8,1.1,72.0,180.0,Right,0.0,University of Dayton,,,,/players/h/hoopebo01.html
Carroll Hooser,1967,1968,1,1944-03-05,Power Forward,Forward,5.6,3.9,0.5,43.1,12.9,0.9,79.0,230.0,Right,0.0,Southern Methodist University,Richardson ,Richardson,Texas,/players/h/hooseca01.html
Tom Hoover,1963,1969,6,1941-01-23,Center,Center,5.9,6.2,1.1,44.7,10.2,7.6,81.0,230.0,Right,0.0,Villanova University,Archbishop Carroll ,Washington,District of Columbia,/players/h/hooveto01.html
Bob Hopkins,1956,1960,4,1934-11-03,Center,Center,8.2,5.6,0.7,39.4,13.6,9.5,80.0,205.0,Right,0.0,Grambling State University,,,,/players/h/hopkibo01.html
Dave Hoppen,1987,1993,6,1964-03-13,Center,Center,5.0,3.8,0.6,51.8,11.3,3.6,83.0,235.0,Right,0.0,University of Nebraska,Benson ,Omaha,Nebraska,/players/h/hoppeda01.html
Dennis Hopson,1987,1992,5,1965-04-22,Small Forward,Forward,10.9,2.8,1.6,43.1,13.3,7.1,77.0,200.0,Right,0.0,Ohio State University,E.L. Bowsher ,Toledo,Ohio,/players/h/hopsode01.html
Scotty Hopson,2013,2018,5,1989-08-08,Shooting Guard,Guard,0.7,0.0,0.7,0.0,-5.5,-0.1,79.0,204.0,Right,0.0,University of Tennessee,University Heights Academy ,Hopkinsville,Kentucky,/players/h/hopsosc01.html
Johnny Horan,1955,1956,1,1932-11-24,Small Forward,Forward,1.8,0.5,0.1,28.6,1.9,-0.1,80.0,190.0,Right,0.0,University of Dayton,Saint Thomas Military Academy ,Saint Paul,Minnesota,/players/h/horanjo01.html
Cedrick Hordges,1980,1982,2,1957-01-08,Power Forward,Forward,7.6,5.9,1.2,47.5,10.6,2.2,80.0,220.0,Right,0.0,"Auburn University, University of South Carolina",Robert E. Lee ,Montgomery,Alabama,/players/h/hordgce01.html
Al Horford,2007,2019,12,1986-06-03,Center,Center,14.1,8.4,3.2,52.5,18.9,85.7,82.0,245.0,Right,0.0,University of Florida,Grand Ledge ,Grand Ledge,Michigan,/players/h/horfoal01.html
Tito Horford,1988,1994,6,1966-01-19,Center,Center,1.5,1.3,0.1,30.0,4.4,-0.5,85.0,245.0,Right,0.0,University of Miami,Marian Christian ,Houston,Texas,/players/h/horfoti01.html
Ron Horn,1961,1968,7,1938-05-24,Small Forward,Forward,2.5,2.4,0.3,29.2,5.0,-0.3,79.0,220.0,Right,0.0,Indiana University,Mississinewa ,Gas City,Indiana,/players/h/hornro01.html
Jeff Hornacek,1986,2000,14,1963-05-03,Shooting Guard,Guard,14.5,3.4,4.9,49.6,17.7,108.9,75.0,190.0,Right,0.0,Iowa State University,Lyons Township ,LaGrange,Illinois,/players/h/hornaje01.html
Dennis Horner,2011,2012,1,1988-02-05,Power Forward,Forward,0.6,0.6,0.0,25.0,6.6,0.0,81.0,230.0,Right,0.0,North Carolina State University,Holy Spirit ,Absecon,New Jersey,/players/h/hornede01.html
Robert Horry,1992,2008,16,1970-08-25,Power Forward,Forward,7.0,4.8,2.1,42.5,13.4,66.3,81.0,220.0,Right,0.0,University of Alabama,Andalusia ,Andalusia,Alabama,/players/h/horryro01.html
Ed Horton,1989,1990,1,1967-12-17,Power Forward,Forward,4.5,2.4,0.4,49.4,14.5,0.4,80.0,230.0,Right,0.0,University of Iowa,Lanphier ,Springfield,Illinois,/players/h/hortoed01.html
Bill Hosket,1968,1972,4,1946-12-20,Power Forward,Forward,4.0,2.5,0.7,48.5,13.6,3.2,80.0,225.0,Right,0.0,Ohio State University,Belmont ,Dayton,Ohio,/players/h/hoskebi01.html
Bob Houbregs,1953,1958,5,1932-03-12,Power Forward,Forward,9.3,5.5,1.8,40.4,13.6,14.3,79.0,210.0,Right,1.0,University of Washington,Queen Anne ,Seattle,Washington,/players/h/houbrbo01.html
Danuel House,2016,2019,3,1993-06-07,Small Forward,Forward,8.2,3.4,1.0,45.7,12.3,2.9,79.0,220.0,Right,0.0,Texas A&M University,Hightower ,Missouri City,Texas,/players/h/houseda01.html
Eddie House,2000,2011,11,1978-05-14,Point Guard,Guard,7.5,1.7,1.6,40.9,13.2,20.0,73.0,180.0,Right,0.0,Arizona State University,Hayward ,Hayward,California,/players/h/houseed01.html
Allan Houston,1993,2005,12,1971-04-20,Shooting Guard,Guard,17.3,2.9,2.4,44.4,14.9,55.3,78.0,200.0,Right,0.0,University of Tennessee,Ballard ,Louisville,Kentucky,/players/h/houstal01.html
Byron Houston,1992,1996,4,1969-11-22,Power Forward,Forward,3.9,3.0,0.5,45.6,10.2,3.9,77.0,250.0,Right,0.0,Oklahoma State University,Star-Spencer ,Oklahoma City,Oklahoma,/players/h/houstby01.html
Tom Hovasse,1994,1995,1,1967-01-31,Small Forward,Forward,0.0,0.0,0.0,0.0,0.2,0.0,80.0,205.0,Right,0.0,Pennsylvania State University,Widefield ,Security,Colorado,/players/h/hovasto01.html
Brian Howard,1991,1993,2,1967-10-19,Small Forward,Forward,6.0,2.8,0.9,45.8,10.3,0.9,78.0,204.0,Right,0.0,North Carolina State University,North Forsyth ,Winston-Salem,North Carolina,/players/h/howarbr01.html
Dwight Howard,2004,2019,15,1985-12-08,Power Forward,Forward,17.4,12.6,1.5,58.3,21.6,128.9,83.0,265.0,Right,0.0,,Southwest Atlanta Christian Academy ,Atlanta,Georgia,/players/h/howardw01.html
Greg Howard,1970,1972,2,1948-01-08,Power Forward,Forward,3.4,2.5,0.6,38.8,10.5,0.6,81.0,215.0,Right,0.0,University of New Mexico,Fifth Avenue ,Pittsburgh,Pennsylvania,/players/h/howargr01.html
Josh Howard,2003,2013,10,1980-04-28,Small Forward,Forward,14.3,5.7,1.6,44.8,16.7,38.0,79.0,210.0,Right,0.0,Wake Forest University,Hargrave Military Academy ,Chatham,Virginia,/players/h/howarjo01.html
Juwan Howard,1994,2013,19,1973-02-07,Center,Center,13.4,6.1,2.2,46.9,14.6,59.4,81.0,240.0,Right,0.0,University of Michigan,Chicago Vocational Career Academy ,Chicago,Illinois,/players/h/howarju01.html
Mo Howard,1976,1977,1,1954-08-25,Shooting Guard,Guard,4.8,1.2,1.3,48.5,14.5,0.6,74.0,170.0,Right,0.0,University of Maryland,Saint Joseph's Preparatory School ,Philadelphia,Pennsylvania,/players/h/howarmo01.html
Otis Howard,1978,1979,1,1956-11-05,Power Forward,Forward,4.2,2.9,0.4,42.9,13.7,0.2,79.0,220.0,Right,0.0,Austin Peay State University,Oak Ridge ,Oak Ridge,Tennessee,/players/h/howarot01.html
Stephen Howard,1992,1998,6,1970-07-15,Small Forward,Forward,2.8,1.4,0.2,48.1,13.8,1.6,81.0,225.0,Left,0.0,DePaul University,Bishop Lynch ,Dallas,Texas,/players/h/howarst01.html
Bailey Howell,1959,1971,12,1937-01-20,Power Forward,Forward,18.7,9.9,2.0,48.0,19.1,114.8,79.0,210.0,Right,1.0,Mississippi State University,Middleton ,Middleton,Tennessee,/players/h/howelba01.html
Bob Hubbard,1947,1949,2,1922-12-27,Center,Center,3.6,,0.5,24.9,,-0.9,78.0,215.0,Right,0.0,Springfield College,,,,/players/h/hubbabo01.html
Phil Hubbard,1979,1989,10,1956-12-13,Power Forward,Forward,10.9,5.3,1.3,49.5,13.9,29.0,80.0,215.0,Right,0.0,University of Michigan,McKinley ,Canton,Ohio,/players/h/hubbaph01.html
Lester Hudson,2009,2015,6,1984-08-07,Point Guard,Guard,4.7,1.4,1.2,37.5,13.0,0.2,75.0,190.0,Right,0.0,University of Tennessee at Martin,Central ,Memphis,Tennessee,/players/h/hudsole01.html
Lou Hudson,1966,1979,13,1944-07-11,Small Forward,Forward,20.2,4.4,2.7,48.9,17.4,81.0,77.0,210.0,Right,0.0,University of Minnesota,Dudley ,Greensboro,North Carolina,/players/h/hudsolo01.html
Troy Hudson,1997,2008,11,1976-03-13,Point Guard,Guard,9.0,1.7,3.4,40.1,13.1,10.5,73.0,170.0,Right,0.0,"University of Missouri, Southern Illinois University",Carbondale ,Carbondale,Illinois,/players/h/hudsotr01.html
Marcelo Huertas,2015,2017,2,1983-05-25,Point Guard,Guard,3.9,1.5,3.1,40.9,10.1,-0.2,75.0,200.0,Right,0.0,,,,,/players/h/huertma01.html
Kevin Huerter,2018,2019,1,1998-08-27,Shooting Guard,Guard,9.7,3.3,2.9,41.9,10.1,1.5,79.0,190.0,Right,0.0,University of Maryland,Shenendehowa Central HS ,Clifton Park,New York,/players/h/huertke01.html
Josh Huestis,2015,2018,3,1991-12-19,Power Forward,Forward,2.5,2.4,0.3,34.6,6.0,0.7,79.0,230.0,Right,0.0,Stanford University,C.M. Russell ,Great Falls,Montana,/players/h/huestjo01.html
Nate Huffman,2002,2003,1,1975-04-02,Center,Center,3.3,3.3,0.7,36.0,11.8,0.1,85.0,245.0,Right,0.0,Central Michigan University,Lakeview ,Battle Creek,Michigan,/players/h/huffmna01.html
Alfredrick Hughes,1985,1986,1,1962-07-19,Shooting Guard,Guard,5.2,1.7,0.9,40.9,8.2,-0.5,77.0,215.0,Right,0.0,Loyola University of Chicago,Robeson ,Chicago,Illinois,/players/h/hugheri01.html
Eddie Hughes,1987,1990,3,1960-05-26,Point Guard,Guard,3.1,1.0,1.6,41.6,8.9,1.5,70.0,165.0,Right,0.0,Colorado State University,Austin ,Chicago,Illinois,/players/h/hugheed01.html
Kim Hughes,1975,1981,6,1952-06-04,Center,Center,3.8,5.6,0.9,47.9,11.4,13.9,83.0,220.0,Left,0.0,University of Wisconsin,Freeport ,Freeport,Illinois,/players/h/hugheki01.html
Larry Hughes,1998,2012,14,1979-01-23,Shooting Guard,Guard,14.1,4.2,3.1,40.6,14.9,32.3,77.0,184.0,Right,0.0,Saint Louis University,Christian Brothers College ,St. Louis,Missouri,/players/h/hughela01.html
Rick Hughes,1999,2000,1,1973-08-22,Power Forward,Forward,3.9,2.3,0.4,48.6,10.9,0.1,81.0,235.0,Right,0.0,Thomas More College,Walnut Hills ,Cincinnati,Ohio,/players/h/hugheri02.html
Robbie Hummel,2013,2015,2,1989-03-08,Small Forward,Forward,3.9,2.7,0.5,41.8,9.6,1.9,80.0,215.0,Right,0.0,Purdue University,Valparaiso ,Valparaiso,Indiana,/players/h/hummero01.html
John Hummer,1970,1976,6,1948-05-04,Power Forward,Forward,6.9,5.3,1.7,43.8,10.2,4.8,81.0,230.0,Right,0.0,Princeton University,Washington-Lee ,Arlington,Virginia,/players/h/hummejo01.html
Ryan Humphrey,2002,2005,3,1979-07-24,Power Forward,Forward,2.3,2.2,0.2,34.4,6.6,-0.4,80.0,235.0,Right,0.0,"University of Oklahoma, University of Notre Dame",Booker T. Washington ,Tulsa,Oklahoma,/players/h/humphry01.html
Isaac Humphries,2018,2019,1,1998-01-05,Center,Center,3.0,2.2,0.0,28.6,3.4,-0.1,84.0,255.0,Right,0.0,University of Kentucky,La Lumiere School ,La Porte,Indiana,/players/h/humphis01.html
Jay Humphries,1984,1995,11,1962-10-17,Shooting Guard,Guard,11.1,2.5,5.5,47.6,13.9,45.0,75.0,185.0,Right,0.0,University of Colorado,Inglewood ,Inglewood,California,/players/h/humphja01.html
Kris Humphries,2004,2017,13,1985-02-06,Small Forward,Forward,6.7,5.4,0.7,46.3,15.4,30.3,81.0,235.0,Right,0.0,University of Minnesota,Hopkins ,Minnetonka,Minnesota,/players/h/humphkr01.html
Hot Rod Hundley,1957,1963,6,1934-10-26,Point Guard,Guard,8.4,3.3,3.4,34.7,11.7,4.3,76.0,185.0,Right,0.0,West Virginia University,Charleston ,Charleston,West Virginia,/players/h/hundlho01.html
Brandon Hunter,2003,2005,2,1980-11-24,Power Forward,Forward,3.3,2.8,0.3,47.6,12.5,0.7,79.0,260.0,Right,0.0,Ohio University,Withrow ,Cincinnati,Ohio,/players/h/huntebr01.html
Cedric Hunter,1991,1992,1,1965-01-16,Point Guard,Guard,0.0,0.0,0.0,,0.0,0.0,72.0,180.0,Right,0.0,University of Kansas,Omaha South ,Omaha,Nebraska,/players/h/huntece01.html
Chris Hunter,2009,2010,1,1984-07-07,Center,Center,4.5,2.8,0.6,50.2,12.2,1.3,83.0,240.0,Right,0.0,University of Michigan,West Side ,Gary,Indiana,/players/h/huntech01.html
Les Hunter,1964,1973,9,1942-08-16,Power Forward,Forward,12.3,6.9,1.6,44.3,14.8,25.5,79.0,210.0,Right,0.0,Loyola University of Chicago,Pearl ,Nashville,Tennessee,/players/h/huntele01.html
Lindsey Hunter,1993,2010,17,1970-12-03,Point Guard,Guard,8.5,2.2,2.7,38.8,12.1,32.9,74.0,170.0,Right,0.0,"Alcorn State University, Jackson State University",Murrah ,Jackson,Mississippi,/players/h/hunteli01.html
Othello Hunter,2008,2010,2,1986-05-28,Power Forward,Forward,1.4,1.6,0.0,46.9,11.0,0.2,80.0,225.0,Right,0.0,Ohio State University,R.J. Reynolds ,Winston-Salem,North Carolina,/players/h/hunteot01.html
R.J. Hunter,2015,2019,4,1993-10-24,Shooting Guard,Guard,3.0,1.0,0.4,37.1,8.4,0.4,77.0,185.0,Right,0.0,Georgia State University,Pike ,Indianapolis,Indiana,/players/h/hunterj01.html
Steven Hunter,2001,2010,9,1981-10-31,Power Forward,Forward,4.5,3.2,0.2,56.0,13.0,10.6,84.0,220.0,Right,0.0,DePaul University,Proviso East ,Maywood,Illinois,/players/h/huntest01.html
Vince Hunter,2017,2018,1,1994-08-05,Power Forward,Forward,1.5,0.8,0.0,60.0,35.8,0.0,80.0,208.0,Right,0.0,University of Texas at El Paso,Consortium Prep ,Detroit,Michigan,/players/h/huntevi01.html
Bobby Hurley,1993,1998,5,1971-06-28,Point Guard,Guard,3.8,1.1,3.3,35.3,8.1,-1.2,72.0,165.0,Right,0.0,Duke University,Saint Anthony's ,Jersey City,New Jersey,/players/h/hurlebo01.html
Roy Hurley,1946,1947,1,1922-08-12,Small Forward,Forward,5.2,,0.7,22.4,,-1.4,74.0,170.0,Right,0.0,Murray State University,,,,/players/h/hurlero01.html
Geoff Huston,1979,1987,8,1957-11-08,Point Guard,Guard,8.8,1.4,5.1,48.3,12.7,11.9,74.0,175.0,Right,0.0,Texas Tech University,Canarsie ,Brooklyn,New York,/players/h/hustoge01.html
Paul Huston,1947,1948,1,1925-06-02,Small Forward,Forward,3.6,,0.6,23.7,,1.2,75.0,175.0,Right,0.0,Ohio State University,Xenia Central ,Xenia,Ohio,/players/h/hustopa01.html
Mel Hutchins,1951,1958,7,1928-11-22,Power Forward,Forward,11.1,9.6,3.0,38.9,14.7,27.9,78.0,200.0,Right,0.0,Brigham Young University,,,,/players/h/hutchme01.html
Chandler Hutchison,2018,2019,1,1996-04-26,Small Forward,Forward,5.2,4.2,0.8,45.9,8.8,0.6,79.0,197.0,Right,0.0,Boise State University,Mission Viejo HS ,Mission Viejo,California,/players/h/hutchch01.html
Joe Hutton,1950,1952,2,1928-10-06,Shooting Guard,Guard,2.5,1.6,1.0,33.1,8.0,2.2,73.0,170.0,Right,0.0,Hamline University,,,,/players/h/huttojo01.html
Greg Hyder,1970,1971,1,1948-06-21,Small Forward,Forward,5.4,4.3,0.6,44.7,8.7,1.1,78.0,215.0,Right,0.0,Eastern New Mexico University,,,,/players/h/hydergr01.html
Marc Iavaroni,1982,1989,7,1956-09-15,Power Forward,Forward,4.4,3.2,1.0,45.9,7.9,8.0,80.0,210.0,Right,0.0,University of Virginia,Kennedy ,Plainview,New York,/players/i/iavarma01.html
Serge Ibaka,2009,2019,10,1989-09-18,Power Forward,Forward,12.3,7.3,0.7,51.4,17.2,63.9,82.0,235.0,Right,0.0,,,,,/players/i/ibakase01.html
Andre Iguodala,2004,2019,15,1984-01-28,Small Forward,Forward,12.1,5.1,4.4,46.6,15.7,96.4,78.0,215.0,Right,0.0,University of Arizona,Lanphier ,Springfield,Illinois,/players/i/iguodan01.html
Zydrunas Ilgauskas,1997,2011,14,1975-06-05,Center,Center,13.0,7.3,1.1,47.6,18.5,66.3,87.0,238.0,Right,0.0,,,,,/players/i/ilgauzy01.html
Mile Ilic,2006,2007,1,1984-06-02,Center,Center,0.0,0.2,0.0,0.0,-48.6,-0.2,85.0,230.0,Right,0.0,,,,,/players/i/ilicmi01.html
Didier Ilunga-Mbenga,2004,2011,7,1980-12-30,Center,Center,1.8,1.5,0.2,47.0,10.8,2.4,84.0,245.0,Right,0.0,,,,,/players/m/mbengdj01.html
Ersan Ilyasova,2006,2019,13,1987-05-15,Power Forward,Forward,10.6,5.8,1.1,44.3,15.4,44.9,82.0,235.0,Right,0.0,,,,,/players/i/ilyaser01.html
Darrall Imhoff,1960,1972,12,1938-10-11,Center,Center,7.2,7.6,1.8,45.8,12.3,30.1,82.0,220.0,Left,0.0,University of California,Alhambra ,Alhambra,California,/players/i/imhofda01.html
Tom Ingelsby,1973,1976,3,1951-02-12,Point Guard,Guard,3.2,1.3,1.0,42.4,11.0,0.8,75.0,180.0,Right,0.0,Villanova University,Cardinal O'Hara ,Springfield,Pennsylvania,/players/i/ingelto01.html
Joe Ingles,2014,2019,5,1987-10-02,Small Forward,Forward,8.0,3.1,3.4,44.7,12.5,23.1,80.0,226.0,Left,0.0,,Lake Ginninderra ,Canberra,Australia,/players/i/inglejo01.html
Damien Inglis,2015,2016,1,1995-05-20,Small Forward,Forward,1.8,1.6,0.5,35.1,6.7,-0.1,80.0,246.0,Right,0.0,,,,,/players/i/inglida01.html
Andre Ingram,2017,2019,2,1985-11-19,Shooting Guard,Guard,4.0,1.3,1.2,34.8,10.9,0.1,75.0,190.0,Right,0.0,American University,Highland Springs High School ,Highland Springs,Virginia,/players/i/ingraan01.html
Brandon Ingram,2016,2019,3,1997-09-02,Small Forward,Forward,13.9,4.7,2.9,45.8,11.7,4.5,81.0,190.0,Right,0.0,Duke University,Kinston ,Kinston,North Carolina,/players/i/ingrabr01.html
McCoy Ingram,1957,1958,1,1931-08-31,Power Forward,Forward,2.8,4.8,0.8,26.2,7.6,-0.7,80.0,210.0,Right,0.0,Jackson State University,,,,/players/i/ingramc01.html
Ervin Inniger,1967,1969,2,1945-01-16,Shooting Guard,Guard,8.8,3.5,1.4,43.0,12.2,5.5,76.0,190.0,Right,0.0,Indiana University,Berne ,Berne,Indiana,/players/i/inniger01.html
Byron Irvin,1989,1993,4,1966-12-02,Shooting Guard,Guard,5.2,1.4,0.8,47.1,16.0,2.1,77.0,190.0,Right,0.0,"University of Arkansas, University of Missouri",Percy L. Julian ,Chicago,Illinois,/players/i/irvinby01.html
George Irvine,1970,1976,6,1948-02-01,Small Forward,Forward,9.5,3.0,1.3,51.7,14.0,16.0,78.0,200.0,Right,0.0,University of Washington,Ballard ,Seattle,Washington,/players/i/irvinge01.html
Kyrie Irving,2011,2019,8,1992-03-23,Point Guard,Guard,22.2,3.6,5.7,46.5,22.1,58.4,75.0,193.0,Right,0.0,Duke University,Saint Patrick ,Elizabeth,New Jersey,/players/i/irvinky01.html
Jonathan Isaac,2017,2019,2,1997-10-03,Power Forward,Forward,8.5,5.0,1.0,41.9,12.3,4.2,82.0,210.0,Right,0.0,Florida State University,IMG Academy ,Bradenton,Florida,/players/i/isaacjo01.html
Dan Issel,1970,1985,15,1948-10-25,Power Forward,Forward,22.6,9.1,2.4,49.9,21.4,157.8,81.0,235.0,Right,1.0,University of Kentucky,Batavia ,Batavia,Illinois,/players/i/isselda01.html
Mike Iuzzolino,1991,1993,2,1968-01-22,Point Guard,Guard,9.0,2.0,4.3,45.7,12.9,3.7,70.0,175.0,Right,0.0,"Pennsylvania State University, Saint Francis University",Altoona Area ,Altoona,Pennsylvania,/players/i/iuzzomi01.html
Allen Iverson,1996,2010,14,1975-06-07,Point Guard,Guard,26.7,3.7,6.2,42.5,20.9,99.0,72.0,165.0,Right,1.0,Georgetown University,Bethel ,Hampton,Virginia,/players/i/iversal01.html
Willie Iverson,1968,1969,1,1945-10-08,Point Guard,Guard,4.9,1.6,2.9,34.2,4.7,-0.1,72.0,180.0,Right,0.0,Central Michigan University,Pershing ,Detroit,Michigan,/players/i/iverswi01.html
Royal Ivey,2004,2014,10,1981-12-20,Point Guard,Guard,3.3,1.1,1.0,40.6,8.4,4.5,75.0,200.0,Right,0.0,University of Texas at Austin,Blair Academy ,Blairstown,New Jersey,/players/i/iveyro01.html
Elvin Ivory,1968,1969,1,1948-07-02,Small Forward,Forward,4.4,3.3,0.5,43.7,14.9,0.1,80.0,210.0,Right,0.0,University of Louisiana at Lafayette,Hayes ,Birmingham,Alabama,/players/i/ivoryel01.html
Wesley Iwundu,2017,2019,2,1994-12-20,Small Forward,Forward,4.4,2.5,1.0,41.9,8.3,2.5,79.0,195.0,Right,0.0,Kansas State University,Spring Westfield ,Houston,Texas,/players/i/iwundwe01.html
Warren Jabali,1968,1975,7,1946-08-29,Point Guard,Guard,17.1,6.7,5.3,43.1,16.3,35.1,74.0,200.0,Right,0.0,Wichita State University,Central ,Kansas City,Missouri,/players/j/jabalwa01.html
Jarrett Jack,2005,2018,13,1983-10-28,Shooting Guard,Guard,10.8,2.9,4.6,44.0,14.1,36.8,75.0,200.0,Right,0.0,Georgia Institute of Technology,Worcester Academy ,Worcester,Massachusetts,/players/j/jackja01.html
Aaron Jackson,2017,2018,1,1986-05-06,Point Guard,Guard,8.0,3.0,1.0,33.3,2.4,0.0,76.0,185.0,Right,0.0,Duquesne University,Northwest Catholic ,West Hartford,Connecticut,/players/j/jacksaa01.html
Al Jackson,1967,1968,1,1943-07-29,Point Guard,Guard,0.0,0.0,0.5,0.0,-9.2,-0.1,73.0,185.0,Right,0.0,Wilberforce University,Benedictine ,Cleveland,Ohio,/players/j/jacksal01.html
Bobby Jackson,1997,2009,12,1973-03-13,Shooting Guard,Guard,9.7,3.1,2.6,41.7,15.2,31.4,73.0,185.0,Right,0.0,University of Minnesota,Salisbury ,Salisbury,North Carolina,/players/j/jacksbo01.html
